ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
919,31/01/2024,10,25,5,1,Completa
947,31/01/2024,106,5,1,4,Completa
1317,31/1/2024,235,25,3,3,Completa
1607,31/1/2024,114,15,5,1,Completa
2038,31/1/2024,132,2,5,4,Completa
2436,31/1/2024,282,3,3,1,Completa
2578,31/1/2024,201,31,6,3,Completa
448,01/02/2024,5,19,3,4,Pendiente
492,01/02/2024,114,29,6,4,Completa
1099,1/2/2024,282,28,1,4,Completa
1439,1/2/2024,130,18,2,2,Completa
1565,1/2/2024,97,6,6,2,Completa
1776,1/2/2024,247,7,4,4,Completa
2190,1/2/2024,98,16,1,1,Pendiente
2755,1/2/2024,27,18,4,4,Completa
43,02/02/2024,294,31,1,4,Completa
272,02/02/2024,60,3,6,4,Completa
349,02/02/2024,203,2,3,4,Completa
351,02/02/2024,45,8,4,3,Completa
822,02/02/2024,1,32,4,5,Completa
1078,2/2/2024,218,6,5,5,Completa
1595,2/2/2024,129,31,6,1,Completa
2746,2/2/2024,217,4,1,4,Completa
262,03/02/2024,156,33,3,4,Pendiente
997,03/02/2024,245,12,3,5,Completa
1221,3/2/2024,251,10,5,5,Pendiente
1931,3/2/2024,204,6,4,5,Completa
1967,3/2/2024,32,7,5,4,Completa
2328,3/2/2024,275,23,1,2,Completa
420,04/02/2024,259,32,1,2,Pendiente
546,04/02/2024,66,19,3,4,Completa
680,04/02/2024,112,37,2,5,Completa
2263,4/2/2024,48,27,1,5,Completa
2752,4/2/2024,125,35,3,4,Completa
2889,4/2/2024,48,24,2,3,Pendiente
2896,4/2/2024,106,21,1,2,Completa
680,04/02/2024,112,37,2,5,Completa
277,05/02/2024,159,4,6,4,Completa
497,05/02/2024,169,5,6,3,Completa
503,05/02/2024,169,5,5,1,Completa
1198,5/2/2024,102,13,2,1,Completa
1449,5/2/2024,172,29,6,2,Completa
1759,5/2/2024,255,23,5,5,Pendiente
2873,5/2/2024,230,13,2,2,Completa
484,06/02/2024,168,35,1,2,Completa
593,06/02/2024,258,11,4,5,Completa
809,06/02/2024,159,19,6,5,Pendiente
1656,6/2/2024,283,1,3,4,Completa
1735,6/2/2024,130,8,6,5,Completa
2126,6/2/2024,181,3,3,4,Pendiente
2540,6/2/2024,75,28,6,1,Pendiente
2680,6/2/2024,155,18,2,4,Completa
116,07/02/2024,71,35,4,3,Completa
215,07/02/2024,64,31,2,4,Pendiente
441,07/02/2024,21,7,6,3,Completa
471,07/02/2024,108,12,6,5,Pendiente
1136,7/2/2024,187,23,3,3,Completa
1753,7/2/2024,35,17,2,4,Pendiente
2127,7/2/2024,180,6,3,3,Completa
2209,7/2/2024,151,3,2,1,Completa
2935,7/2/2024,164,25,3,4,Completa
